"cod identificare fiscala"	"denumire"	"obligatii principale la bugetul de stat"	"obligatii accesorii la bugetul de stat"	"obligatii contestate la bugetul de stat"	"obligatii principale la bugetul asigurarilor sociale"	"obligatii accesorii la bugetul asigurarilor sociale"	"obligatii contesate la bugetul asigurarilor sociale"	"obligatii principale la bugetul asigurarilor de somaj"	"obligatii accesorii la bugetul asigurarilor de somaj"	"obligatii contestate la bugetul asigurarilor de somaj"	"obligatii principale la bugetul de sanatate"	"obligatii accesorii la bugetul de sanatate"	"obligatii contestate la bugetul de sanatate"
"18878617"	"ELDON SRL"	"2534"	"0"	"0"	"472789"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"19169672"	"SIT ROMANIA SRL"	"211690"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"18596705"	"JOHNSON METALL S.A."	"279873"	"98476"	"0"	"0"	"20"	"0"	"0"	"0"	"0"	"0"	"8"	"0"
"18507929"	"RIO BUCOVINA S.R.L."	"890970"	"9994"	"0"	"1987679"	"30"	"0"	"93020"	"1"	"0"	"801797"	"36"	"0"
"22017640"	"KEY SAFETY SYSTEMS UK LTD"	"412661"	"1213331"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"21495905"	"TE-ROX PROD SRL"	"22825"	"0"	"0"	"158726"	"0"	"0"	"0"	"0"	"0"	"32019"	"0"	"0"
"22915470"	"MIELE TEHNICA SRL"	"5394721"	"0"	"0"	"3051023"	"0"	"0"	"137701"	"0"	"0"	"1193391"	"0"	"0"
"22808091"	"VALEO SISTEME TERMICE S.R.L."	"0"	"1123517"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"24041113"	"MERCEDES-BENZ LEASING IFN SA"	"0"	"487980"	"484935"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"25632169"	"PUBLIC GAMES SRL"	"62255285"	"27149593"	"0"	"1944245"	"60076"	"0"	"125779"	"2882"	"0"	"1077008"	"24648"	"0"
"25685643"	"AGROBERIN SRL"	"3241082"	"1699957"	"0"	"78492"	"10338"	"0"	"3694"	"456"	"0"	"33447"	"4321"	"0"
"25562527"	"REMAT MUELLER-GUTTENBRUNN SRL"	"2478027"	"678"	"0"	"2876695"	"0"	"0"	"128009"	"0"	"0"	"1149768"	"0"	"0"
