"cod identificare fiscala"	"denumire"	"obligatii principale la bugetul de stat"	"obligatii accesorii la bugetul de stat"	"obligatii contestate la bugetul de stat"	"obligatii principale la bugetul asigurarilor sociale"	"obligatii accesorii la bugetul asigurarilor sociale"	"obligatii contesate la bugetul asigurarilor sociale"	"obligatii principale la bugetul asigurarilor de somaj"	"obligatii accesorii la bugetul asigurarilor de somaj"	"obligatii contestate la bugetul asigurarilor de somaj"	"obligatii principale la bugetul de sanatate"	"obligatii accesorii la bugetul de sanatate"	"obligatii contestate la bugetul de sanatate"
"18374016"	"TIPROTEH SRL"	"28374"	"0"	"0"	"40357"	"0"	"0"	"1717"	"0"	"0"	"17388"	"0"	"0"
"18375712"	"OFY GRUP SRL"	"94562"	"92103"	"0"	"13617"	"215"	"0"	"646"	"6"	"0"	"5848"	"83"	"0"
"18187115"	"WITTENSTEIN S.R.L."	"50710"	"0"	"0"	"7421"	"0"	"0"	"354"	"0"	"0"	"3072"	"0"	"0"
"18190501"	"CYNTHIA INTERNATIONAL SRL"	"126194"	"12219"	"0"	"67807"	"5748"	"0"	"3088"	"240"	"0"	"27830"	"2138"	"0"
"18102780"	"FLY GO VOYAGER SRL"	"27323"	"994"	"0"	"33014"	"1367"	"0"	"1572"	"59"	"0"	"13355"	"508"	"0"
"18103793"	"ARGUS OPTIK S.R.L."	"98254"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"17992604"	"BINDERBUBI TURISM S.A."	"98242"	"0"	"0"	"125053"	"0"	"0"	"5662"	"0"	"0"	"47920"	"0"	"0"
"17995341"	"INSTAL ILIAS S.R.L."	"53843"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"17791716"	"TRANSPORT PUBLIC LOCAL SA"	"1117788"	"36206"	"0"	"764698"	"14075"	"0"	"33626"	"623"	"0"	"298681"	"4471"	"0"
"17792495"	"TURNATORIE IBERICA S.R.L."	"61290"	"0"	"0"	"29913"	"0"	"0"	"1606"	"0"	"0"	"13785"	"0"	"0"
"17801348"	"STRATUM ENCLOSURES SRL"	"0"	"0"	"0"	"99600"	"0"	"0"	"3263"	"0"	"0"	"22991"	"0"	"0"
"17801399"	"FORCE 1 DIVIZIA DE SECURITATE SRL"	"491068"	"47783"	"0"	"412544"	"35672"	"0"	"26259"	"1623"	"0"	"239087"	"15504"	"0"
"17999017"	"COMPANIA DE VENTILATOARE SA"	"907031"	"213523"	"0"	"686908"	"219487"	"0"	"26495"	"7355"	"0"	"259665"	"79017"	"0"
"18002101"	"MIALAN COMIMPEX SRL"	"102678"	"3704"	"0"	"5432"	"0"	"0"	"224"	"0"	"0"	"2348"	"0"	"0"
"18007559"	"VALCOS HOLDING SRL"	"242168"	"20403"	"0"	"3783"	"1820"	"0"	"128"	"74"	"0"	"1442"	"774"	"0"
"18008449"	"ROBDENIS SRL"	"75974"	"0"	"0"	"6894"	"0"	"0"	"327"	"0"	"0"	"3001"	"0"	"0"
"17809457"	"NATURAL EXPERT SRL"	"396309"	"4734"	"0"	"83241"	"2035"	"0"	"3590"	"83"	"0"	"35060"	"821"	"0"
"18011924"	"SER TRANSNAV SRL"	"499984"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"18015403"	"INCOPRO DESIGN SRL"	"127008"	"56389"	"0"	"6689"	"949"	"0"	"315"	"30"	"0"	"2919"	"392"	"0"
"17813300"	"EURO GEPETO S.A."	"810181"	"153130"	"0"	"135776"	"19098"	"0"	"3336"	"364"	"0"	"49196"	"6799"	"0"
"17813695"	"VENUS MOB SRL"	"206463"	"14882"	"0"	"212471"	"22020"	"0"	"9651"	"963"	"0"	"91469"	"9339"	"0"
"17910264"	"VALMAR 05 S.R.L."	"30654"	"0"	"0"	"38350"	"0"	"0"	"1772"	"0"	"0"	"15306"	"0"	"0"
"17590003"	"PROLISOK SRL"	"152802"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"17596049"	"COMAC MEDICAL SRL"	"21288"	"3452"	"0"	"40572"	"8091"	"0"	"1958"	"919"	"0"	"16611"	"3362"	"0"
"17599142"	"UNIREA HYPERMARKET CENTER SRL"	"238884"	"2587"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"17822766"	"ADMA GRUP AG S.R.L."	"135237"	"0"	"0"	"83964"	"0"	"0"	"4433"	"0"	"0"	"38161"	"0"	"0"
